题目,作者,期刊,发表时间,摘要,关键词
发达县域基本公共卫生服务领域问题分析——以江苏省昆山市为例,黄巧宇;励晓红;郝峰峰;钱国华;吴擢春;袁红;张一英;吕军,中国卫生事业管理(2019年12期),2019/12/15,"目的:分析发达县域基本公共卫生服务领域存在的问题,为形成解决问题的策略提供依据。方法:以江苏省昆山市作为发达县域代表,采用焦点组访谈分析昆山存在的突出问题;运用专家论证法对昆山存在哪些问题、问题的重要性、解决问题的层级及部门进行论证。结果:焦点组访谈提示卫生人力、居民依从性、基层补偿方式、均等化评价指标体系等方面问题突出。专家论证显示,昆山基本公共卫生服务领域存在35类问题,不同层级专家观点差异较大。均等化程度评价指标不完善、卫生人力资源数量与质量均不足、公共卫生与医疗机构防治脱节等问题重要性较高。大多数问题仅靠县域层级、卫生部门难以解决。结论:发达县域基本公共卫生服务领域存在诸多问题,人力资源、评价指标、项目设置、供方补偿等方面问题最为关键,信息化、医保问题需予以重视;县域层级、卫生部门可解决一些问题,但是部分问题必须依赖更高层级、多部门协作才可解决。",基本公共卫生服务;问题分析;发达县域;
我国农村基本公共卫生服务公私协作机制问题研究,高俊良;唐尚锋;李刚;杨俭;李远庆;冯占春,中国卫生事业管理(2019年12期),2019/12/15,"目的:探讨农村基本公共卫生服务公私协作机制中存在的具体问题,为更好的发展我国基本公共卫生服务乡村协作体系提供对策建议。方法:通过多阶段分层随机抽样的方法分别抽取广东省(东部)、湖南和湖北省(中部)、重庆和贵州(西部)作为样本地区进行问卷调查;通过定性研究的方法和逻辑推理的方式,总结了基本公共卫生服务公私协作管理系统的组成内容。结果:乡村公私主体间已形成了资源整合与分配、业务培训与指导、监督考核与支付、沟通交流与反馈、利益共享与激励等机制,各机制运行过程存在具体的问题。结论:我国农村已经形成了较好的公私协作服务体系,针对公私协作机制中出现的问题,需要在转变居民观念、规范资金管理及加快信息化建设等方面来完善。",基本公共卫生服务;公私协作;机制;乡村医生;
国家基本公共卫生服务项目实施效果评价,潘钰婷;连至炜;廖子锐;赵鹏宇;尤莉莉;刘远立,中国公共卫生(2020年03期),2019/12/9 13:15,"目的了解国家基本公共卫生服务项目的实施效果。方法采用文献综述方法,检索并筛选关于国家基本公共卫生服务项目效果评价的相关文献,并按照结构–过程–结果评价框架对国家基本公共卫生服务项目的实施效果进行综合分析。结果纳入符合标准的文献24篇,评价结果显示,国家基本公共卫生服务项目在结构、过程和结果上均取得了一定成效;服务体系、筹集保障、绩效考核水平不断提升;项目组织、经费落实不断完善;均等化水平和服务水平得到明显提高。结论国家基本公共卫生服务项目已取得阶段性成效,下一阶段需重点加强人才培养、制定合理科学的评价体系、完善服务内容,促进国家基本公共卫生服务项目的可持续性发展。",国家基本公共卫生服务项目;实施效果;系统评价;
关于加强基本公共卫生服务绩效管理的思考,张朝阳,中国卫生经济(2019年12期),2019/12/5,"在剖析了国家基本公共卫生服务的意义与特点基础上,总结分析了我国基本公共卫生服务取得的进展、成效以及存在的问题与挑战,并对加强基本公共卫生服务绩效管理提出建议。",基本公共卫生服务;绩效管理;绩效评价;
医改进行时——2019年国家基本公共卫生服务新增19项工作,,中国全科医学(2019年34期),2019/12/5,"<正>2019年9月,国家卫生健康委、财政部、国家中医药局联合发布《关于做好2019年基本公共卫生服务项目工作的通知》(国卫基层发[2019]52号,《通知》)。《通知》对基本公共卫生服务内容和服务方式均做了调整,新划入相关服务工作19项,同时对保障基层公共卫生服务人员收入、积极稳妥推进电子健康档案向个人开放、切实减轻基层负担等作出了要求,相关内容如下。",
基于秩和比法新疆地区基本公共卫生服务评价,徐培兰;孜克娅·乃吉木;木日扎提·买买提;孙虹;魏晶晶;王昕,中国公共卫生(2021年03期),2019/12/2 10:15,"目的评价新疆14个地州基本公共卫生服务开展情况,为新疆地区基本公共卫生建设提供更全面、更有针对性的指导性建议。方法收集新疆地区卫生健康委员会2018年全区全民体检基本公共卫生服务监测数据和年度报表,采用秩和比(RSR)法对新疆14个地州基本公共卫生服务开展情况进行分析。结果新疆14个地州的健康档案建档率均>80%,其中乌鲁木齐市和巴州的建档率最高,均达到100%;除乌鲁木齐市新生儿访视率和儿童健康管理率分别为87.85%和86.83%外,其他13个地州均>90%;早孕建册率均>80%,其中乌鲁木齐市最高为95.29%,克拉玛依市最低为82.75%;除乌鲁木齐市产后访视率为87.80%外,其他13个地州均>90%;高血压患者规范管理率除克拉玛依市和塔城地区分别为64.90%和65.92%外,其他12个地州均>70%;2型糖尿病患者规范管理率除吐鲁番市和塔城地区分别为68.59%和65.92%外,其他12个地州均>70%;RSR法排序结果显示,新疆14个地州中吐鲁番市的RSR值最高为0.68,昌吉州的RSR值最低为0.32;新疆4个区域中南疆的RSR值最高为0.79,乌鲁木齐市的RSR值最低为0.50。结论新疆地区基本公共卫生服务存在各项目、各地区发展不平衡现象,各地医疗机构应根据自身人群特征、区域特征等对基本公共卫生服务加以改进。",基本公共卫生服务;秩和比(RSR)法;评价;
发达县域基本公共卫生服务评价指标体系构建——以江苏省昆山市为例,许佳敏;郝峰峰;吕军;钱国华;袁红;张一英;李程跃;苌凤水;励晓红,中国卫生政策研究(2019年11期),2019/11/25,"目的:构建适用于发达县域的基本公共卫生服务评价指标体系并确定权重。方法:通过文献内容分析建立文献评阅指标池,经筛选初步形成指标体系后,邀请专家进行可行性论证,运用Delphi法对形成的指标体系进行权重评分,最终形成发达县域基本公共卫生服务评价指标体系。结果:最终确定由3个一级指标、19个二级指标和46个三级指标组成的基本公共卫生服务评价指标体系,确定了指标体系中各级指标所占的权重。结论:研究以相关性、发展性、灵敏性为指标构建关键原则,形成的评价指标体系具有""一个定位,三大特点"",即作为发达县域自我提升的自检工具,具备以人群健康结果为导向、反映实践工作重点项目、指引未来工作方向的功能。",基本公共卫生服务;评价指标体系;发达县域;
基于结果链的基本公共卫生服务实施偏差分析,毛淋淇;励晓红;吕军;郝峰峰;钱国华;袁红;张一英;吴擢春,中国卫生事业管理(2019年11期),2019/11/15,"目的:分析我国基本公共卫生服务项目实施过程中的偏差,探索防止以及纠正偏差的思路。方法:基于世界银行提出的结果链模型,对基本公共卫生服务项目目标进行界定,并围绕活动设计的总原则对现实活动开展中存在的实施偏差进行分析。结果:现阶段我国基本公共卫生服务实施过程中常见问题包括:活动设计未围绕服务目的、活动设计不完整、活动超过机构能力等。结论:为保障政策目标的实现,项目的活动设计必须以目标为导向,遵循相关性、完整性等原则,在合理设计活动的基础上,进一步构建完善筹资机制、评价机制等,以防止出现偏差、发现并纠正偏差。",基本公共卫生服务;结果链;偏差;
武汉市基本公共卫生服务知晓率研究,杨芬;熊振芳,护理研究(2019年21期),2019/11/10,"[目的]从第三方视角了解居民对基本公共卫生服务的知晓率,提出可行性建议和方案。[方法]采用分层随机抽样由第三方测评机构2014年分别于武汉市黄陂区4个片区中抽取20个村的1186名居民,采用基本公共卫生服务居民知晓率调查表调查,评价健康档案、健康教育、预防接种、儿童健康管理、孕产妇健康管理、老年人健康管理、慢性病健康管理、精神病人健康管理、传染病人管理、卫生监督协管的知晓情况。[结果]居民对各项基本公共卫生服务的知晓率由高到低依次为老年人健康管理、预防接种、儿童健康管理、慢性病健康管理、孕产妇健康管理、健康教育、传染病人管理、健康档案、卫生监督协管、精神病人健康管理。最高的是老年人健康管理服务(78.67%),最低的是精神病人健康管理(17.54%)。不同性别人群对健康档案、预防接种、儿童健康管理、孕妇健康管理的知晓率差异有统计学意义;不同年龄组的人群对预防接种、儿童健康管理、孕妇健康管理、老年人健康管理、慢性病健康管理、传染病人管理、卫生监督管理的知晓率差异有统计学意义;不同地区人群在健康档案、老年人健康管理和慢性病健康管理方面差异有统计学意义。居民的主要知晓途径是通过政府、医疗机构的宣传栏(40.56%)。[结论]居民对基本公共卫生服务各项目的知晓率不尽相同,居民在精神病人健康管理、卫生监督协管等方面知晓率较低,政府需在这些方面加大宣传力度,以提高居民的知晓率。",基本公共卫生服务;评估;健康档案;健康教育;预防接种;健康管理;卫生监督协管;知晓率;
中国农村基本公共卫生服务项目政策变迁研究,刘花;唐尚锋;陈莉;冯占春;王若溪;宋虹汛;毛一晴,中国卫生事业管理(2019年10期),2019/10/15,"2009年国家开始建立基本公共卫生制度,项目的调整、实施管理、资金监管与保障制度以及绩效评价等是制度建设的重点内容。近十年的制度建设,从运行初级期走向了成熟稳定阶段,政策目的从改善管理认知过渡到了项目增量、提质、扩面、拓容,再转移到了专注质量、效率和效果的改善,具体项目管理措施主要集中在服务模式、资金管理和组织管理等方面。政策工具也从制度运行初期的政府组织供给项目包迁移到了政府购买、乡村协作供给、上级督导、资金监管与考核评价方面,并转变到政府购买、签约、过程管理、信息化、结果评价方面。",基本公共卫生;政策;变迁;
基于社会网络分析方法的湖北省枝江市某镇农村基本公共卫生服务人员咨询网络研究,付航;付谦;毛一晴;陈晓禹;杨俭;李远庆;冯占春,医学与社会(2019年10期),2019/10/10,"目的:了解我国农村地区基本公共卫生服务人员咨询网络的特征,为基层公共卫生人员管理实践提供参考。方法:运用典型抽样方法选取湖北省枝江市某镇为样本地区进行问卷调查,共获取46名基本公共卫生服务人员的咨询关系数据,采用整体社会网络分析方法对咨询网络进行分析。结果:公共卫生人员在咨询网络中的影响力更强,处于网络的中心位置,而乡村医生和临床医生的中介作用更为明显。向他人请教的咨询关系相较于主动指导更易发生,相同职业类别的卫生人员联系更为紧密。结论:公共卫生人员在咨询网络中发挥核心作用,乡村医生和临床医生在咨询网络中的中介作用仍需改善,社会网络分析可以为我国卫生人力资源管理提供新的视角。",基本公共卫生服务;卫生人员;社会网络分析;枝江;
城市流动人口基本公共卫生服务均等化与精准脱贫研究,朱琳;王筱婧,北方民族大学学报(哲学社会科学版)(2019年05期),2019/9/15,"2010年以来,劳动密集型产业和资源密集型产业逐步向中西部转移,流动人口逐渐形成向中西部的回流潮。随着人口流动数量的日益庞大及内部的逐渐分化,贫困流动人口已经成为我国城市贫困的三大主体之一。宁夏流动人口健康和公共卫生服务基本情况良好,但是在健康意识、医疗保险及妇幼保健等方面依然存在很大改进空间,需要从调整公共服务制度、加大财政投入、创新服务模式等方面提升基本卫生和健康服务均等化,补齐基本公共服务的短板,推动精准脱贫目标的实现。",基本公共卫生服务;均等化;精准脱贫;
农村基本公共卫生服务背景下高血压患者对村卫生室满意度的影响因素分析,刘晶晶;吴群红;刘欢;郑统;谭笑;陈明曦,医学与社会(2019年09期),2019/9/10,"目的:分析农村基本公共卫生服务背景下村卫生室对高血压的管理和服务现状,探究高血压患者对村卫生室满意度的影响因素。方法:应用多变量逻辑回归分析满意度的影响因素,OR和95%CI估计用于评估预测因子与满意度之间的关系。结果:农村患者对村卫生室高血压管理的知晓率低(49.4%),村医对高血压患者的随访率低(电话回访率为31.6%,家庭随访率为33.9%),对高血压宣传教育普及率低(46.5%)。对村卫生室开展的预防保健工作的满意度(95%CI:11.883-90.656)和对村医的信任(95%CI:3.464-25.357)是影响满意度的重要预测因子。结论:村卫生室高血压管理效果较差,对村卫生室预防保健服务的满意度高,医患信任良好。",村卫生室;高血压管理;满意度;基本公共卫生服务;
天津市基层医疗卫生机构服务现状分析——基于经常性卫生费用视角,罗洁;李媛媛;李菁;王佩;万健;张利英;张曼萍;卞淑芬,卫生经济研究(2019年08期),2019/7/25 16:59,"目的:分析天津市基层医疗卫生机构服务现状。方法:以天津市2017年经常性卫生费用核算结果为基础,分析基层医疗卫生机构医疗费用概况、筹资结构、功能流向和受益人群。结果:2017年天津市基层医疗卫生机构经常性卫生费用为71.50亿元,占全市经常性卫生费用的9.83%;其中,治疗服务费用占78.33%,主要依靠社会基本医疗保险方案进行补偿;预防服务费用占21.67%,主要依靠政府方案进行补偿。结论:政府落实投入责任,群众基层就医负担大幅减轻;但基层医疗卫生机构基本医疗服务能力和公共卫生服务成效仍需进一步提高。",经常性卫生费用;基层医疗卫生机构;基本医疗服务;基本公共卫生服务;
政策绩效视角下基本公共卫生服务评价,王紫;宋虹汛;李刚;杨俭;周葭蔚;闫子麒;李远庆;龙成旭;季露;冯占春,中国公共卫生(2019年12期),2019/7/21 12:29,"基本公共卫生服务政策作为一项公共政策,以开展服务项目的形式体现其政策要求。2009—2018年开展基本公共卫生服务以来,服务效果逐年改善,在项目实施10周年的大背景下,开展基本公共卫生服务评价研究具有重大意义。本文根据新公共服务理论、构建责任政府和服务型政府理念,重点阐述基本公共卫生服务评价与上述理论和理念之间的关系,并基于政策绩效视角,构建了以政府责任体现、服务职能转变、服务提供效果为主要维度的基本公共卫生服务评价指标框架,为进一步完善基本公共卫生服务评价体系奠定了基础。",基本公共卫生服务;政策绩效;责任政府;新公共服务;服务型政府;
山西省县域医疗卫生综合改革背景下基本公共卫生服务整合研究,辛越;李建涛;原效国;李莉;关超;张旭;刘晶;王思琦;闫凤茹,中国卫生事业管理(2019年06期),2019/6/15,"目的:对山西省整合型县域卫生改革给基本公卫服务带来的影响进行研究。方法:2018年7月,对30名利益相关者进行半结构式访谈的基础上,运用扎根理论的方法,借鉴SCP的研究范式,建立体系重组—行为改变—绩效结果的作用机制模型。结果:经过编码,最终得出与基本公共卫生服务相关的34个初始概念,11个范畴,4个主范畴,构建了县域医疗卫生综合改革内基本公共卫生服务的发展机制框架。结论:4个主范畴通过不同方式对基本公共卫生服务实施效果产生影响,卫生部门在协同指导、绩效考核方面进展良好;医疗集团对卫生服务资源统一管理,理顺集团内部管理体制,与专业卫生机构协同发展;基层医疗卫生机构公卫人员分工协作,完善了公共卫生服务体制。但仍需进一步整合资金、绩效、业务、人员、信息以达到资源利用最大化,更好的提供基本公共卫生服务。",扎根理论;山西省县域医疗卫生综合改革;基本公共卫生服务整合;
南充市婴幼儿母亲健康素养水平及基本公共卫生服务利用分析,何雪梅;唐小凤,医学与社会(2019年05期),2019/5/10,"目的:分析南充市婴幼儿母亲的健康素养水平及与基本公共卫生服务利用率的相关性。方法:对435名0-6岁婴幼儿母亲进行健康素养水平、健康保健与公共卫生服务利用问卷调查。并进行健康素养水平和基本公共卫生服务利用的单因素、多因素Logistic回归分析。结果:婴幼儿母亲健康素养平均评分(62.8±5.44)分;高健康素养组的健康保健情况、基本公共卫生服务利用率显著优于低健康素养组(P<0.05)。健康素养水平与基本公共卫生服务的利用率有明显相关性,高学历、企事业单位、有良好健康保健行为的婴幼儿母亲更倾向于利用基本公共卫生服务。结论:婴幼儿母亲的健康素养水平越高,基本公共卫生服务的利用率越高。",健康素养;公共卫生服务;母亲;婴幼儿;利用;
基于健康档案利用的山东省基本公共卫生服务利用影响因素研究,程梦菲;张金梦;李向云;胡善菊;庄立辉;于贞杰,医学与社会(2019年05期),2019/5/10,"目的:调查居民健康档案的建立及利用情况,分析影响健康档案利用的关键因素。方法:采用多阶段分层抽样的方法选取调查对象,对影响健康档案利用的因素进行卡方检验及多因素Logistic回归分析。结果:居民健康档案建档及利用率为64.53%,多元Logistic回归分析显示,年龄,居住地,文化程度,家庭收入4个变量有显著性差异。结论:居民对健康档案利用率有待提高。建议从基本公共卫生服务模式入手,与家庭医生签约服务相结合,根据居民的年龄、居住地、文化程度、收入等方面具体情况,采取有针对性的策略提高居民对健康档案的利用率。",健康档案;服务利用;山东;
湖南省改革基本公共卫生服务项目肺结核患者健康管理模式SWOT分析,明辉;唐益;谢颖;肖涛;王巧智,中国公共卫生(2019年07期),2019/4/28 10:54,"目的调查湖南省基本公共卫生服务项目工作现况,综合分析利弊,为以结果为导向,改革肺结核患者健康管理模式提供指导和参考。方法现场访问湖南省省级卫生健康、财政部门行政管理人员,市、县、乡、村级卫生健康行政部门、专业机构管理及业务人员。采用SWOT分析法,将访谈信息按内部优势(S)和劣势(W),外部机会(O)和威胁(T)分类,建立矩阵,综合分析评价。结果肺结核患者健康管理新模式改革的优势是基本公共卫生服务项目工作基础较好,有县区改革经验,人员乐于接受;劣势是经费保障、项目管理难度加大,可能影响绩效公平;机会是有国内外环境及财政等部门支持,符合政策导向,满足工作需要;威胁主要有现有政策的限制和影响,管理部门、专业机构的协作问题。结论应从行政推动、宏观调控、经费保障、政策整合突破、监督管理、宣传引导6大方面推动肺结核患者健康管理模式改革。",基本公共卫生服务;结核病;政策研究;SWOT分析;
我院社区健康服务绩效管理体系建设实践与探索,罗新乐;吴艳艳;谢春;苗蕾;王培席;张玉彩,中国医院管理(2019年05期),2019/4/28,"深圳市龙华区人民医院探索建立以基本公共卫生服务为主导的社区健康服务绩效管理体系,突出公共卫生服务的公益性,调动工作人员的积极性,提高居民公共卫生服务质量,为进一步完善基础医疗服务绩效管理提供经验和借鉴。",基本公共卫生服务;社区健康服务;绩效管理体系;绩效分配;
国家基本公共卫生服务项目实施进展与成效,刘子言;肖月;赵琨;刘爱忠,中国公共卫生(2019年06期),2019/3/11 12:35,"国家基本公共卫生服务项目作为2009年医改的主要任务之一,实施已近十年,基层服务水平和能力得以提升,健康效益逐渐显现,逐步实现服务""均等化"",区域、城乡、人群间差距逐渐缩小。随着社会经济发展,基本公共卫生服务在实施过程中面临新机遇与新挑战。适时总结评估,对于完善项目实施有重要意义。本文通过系统梳理数据、研究文献及政策报告等,分析国家基本公共卫生服务项目实施进展与成效,尝试探讨实施的主要问题,并提出相应的政策建议。",国家基本公共卫生服务项目;基本公共卫生服务均等化;进展;成效;
国家基本公共卫生服务项目人才队伍现状分析,汪志豪;陈馨;李小宁;谢翩翩;刘万奇;刘瑾琪;杨金侠,中国公共卫生(2019年06期),2019/2/22 20:01,"目的了解我国基本公共卫生服务项目的人才队伍现状。方法于2017年1—3月,采取分阶段整群抽样的方法,收集了全国32个省级行政区域共计736家基层医疗卫生机构的人才队伍数据,并分社区卫生服务中心和乡镇卫生院进行了人员数量、结构和流失情况的分析。结果社区卫生服务中心专职从事公共卫生工作的人员比例(29.91%)高于乡镇卫生院(18.86%),差异有统计学意义(P<0.05);社区卫生服务中心和乡镇卫生院专职从事公共卫生工作人员中,公共卫生执业(助理)医师所占比例分别是12.51%和11.03%;平均每家社区卫生服务中心每年流失医师1.02人,乡镇卫生院流失0.72人,差异有统计学意义(P<0.05)。结论目前对于我国基本公共卫生服务项目的人才队伍而言,社区卫生服务中心优于乡镇卫生院,公共卫生专业人员不足,人员整体学历、职称结构良好,城市基层卫生人员流失严重。",基本公共卫生服务;基层医疗卫生机构;人才队伍;
广东省居民对国家基本公共卫生服务项目的知晓率和满意度调查研究,郝爱华;李翠翠;潘波,中国全科医学(2019年04期),2019/2/5,"背景国家基本公共卫生服务项目是一项免费、惠及所有居民的福利性政策,是健康中国战略不可或缺的一部分,政府财政投入逐年增大,但是各省实施效果有待调查。目的调查广东省居民对国家基本公共卫生服务项目的知晓率和满意度,为改善服务质量、提升居民获得感提供依据。方法2018年3月,采用配额抽样方法,对广东省21地市2100例居民(每地市抽取100例居民,其中孕产妇6例,0～6岁儿童家长18例,老年人8例,慢性病患者6例)进行电话问卷调查。采用知晓率调查问卷调查2100例居民对14类(15项)国家基本公共卫生服务项目的知晓率、知晓途径,知晓率以知晓其中≥6项免费服务项目定义为知晓。采用满意度调查问卷调查接受过14类项目中的任何一类或几类服务项目的1330例居民对获得基本公共卫生服务的便利程度、基本公共卫生服务对改善健康的作用、医务人员的技术水平及服务态度、是否愿意继续接受服务5个方面的满意度。采用Spearman相关分析知晓率与总体满意度的相关性。结果广东省居民对国家基本公共卫生服务项目免费服务政策的总体知晓率为13.52%(284/2100)。15个项目中,预防接种知晓率最高,为39.90%(838/2100),中医药健康管理知晓率最低,为8.19%(172/2100)。通过社区宣传栏/告示知晓基本公共卫生服务项目免费服务政策的比例最高,占53.56%(143/267),其次为通过手机微信/短信知晓,占48.69%(130/267)。广东省居民总体满意度为75.19%(25001/33250),其中,愿意由基层医疗卫生机构继续提供基本公共卫生服务项目的满意度最高,为82.87%(5511/6650);对基层医疗卫生机构医务人员的服务技术水平满意度最低,为70.17%(4666/6650)。知晓率与总体满意度呈正相关(rs=0.189,P<0.001)。结论广东省居民对国家基本公共卫生服务项目政策知晓率和满意度均较低,应从加大宣传力度、提高基层医务人员素质两方面着手,推动国家基本公共卫生服务项目工作发展。",国家基本公共卫生服务项目;公共卫生;卫生保健调查;居民满意度;知晓率;电话调查;广东;
贵阳市主城区社区卫生服务中心考核现状分析,甘仁榕;朱焱;卢芸,中国卫生事业管理(2019年01期),2019/1/15,"目的:了解贵阳市主城区社区卫生服务中心接受上级部门考核的现状,发现其中存在的问题,为进一步完善贵阳市社区卫生服务中心的考核方案提供科学的参考依据。方法:对贵阳市主城区(N区和Y区)所有社区卫生服务中心(以下简称中心)进行普查。采用定性辅以定量的方法,用自编的访谈提纲对所有中心的主管考核的工作负责人进行深度访谈。结果:贵阳市主城区34家中心接受的上级部门考核由贵阳市卫计委、各区卫计局主管科室抽调人员负责实施。考核分三个层次:市级部门采取抽查的方式进行;区级部门每一季度会对中心考核1次,并不定期进行督导;以医院为承办单位的中心,承办医院每个月对所辖中心考核1次。考核内容包括机构管理、基本医疗服务、基本公共卫生服务等,其重点是基本公共卫生服务,无针对全科医生服务的考核内容。采用现场观察、现场查阅资料、现场抽查等方式。考核结果主要作为基本公共卫生经费拨付的依据,也被中心用于绩效管理。存在的主要问题是:考核标准不统一,考核时未考虑不同社区的具体情况,考核指标与实际工作之间存在差距,考核过程中存在""一票否决""的现象,缺少信息化支撑,考核人员缺乏专业性。结论:贵阳市两主城区目前社区卫生服务机构考核方案有进一步完善的空间。建议完善考核方式、培训考核人员、以信息化手段为支撑,在了解基层人员及居民实际情况的前提下制定考核指标。",社区卫生服务中心;考核;深度访谈;
基本公共卫生服务疾控项目进展及问题研究——基于六省调研数据,蒋宇;郝晓宁;江启成;刘志;薄涛;刘霞,卫生经济研究(2019年01期),2019/1/7 14:31,"目的:了解全国基本公共卫生服务疾控项目进展,发现存在的问题,提出政策建议。方法:通过对样本地区的问卷调查、现场访谈和电话访谈等,收集样本人群预防接种、慢性病健康管理和严重精神障碍患者管理等项目的进展资料,分析存在的问题。结果:预防接种项目开展较好,慢性病和严重精神障碍患者管理项目开展一般,且地区间存在明显差异。结论:继续推进预防接种工作,改善服务态度和质量;继续提高慢性病和严重精神障碍患者档案规范化管理水平,促进项目进展及患者病情控制的地区间公平。",基本公共卫生服务;疾控项目;地区差异;
基本公共卫生服务均等化评价的实证研究,张金梦;贾腾腾;程梦菲;于贞杰,中国卫生统计(2018年06期),2018/12/25,"<正>本研究以前期构建的基本公共卫生服务均等化评价指标体系为基础,结合山东省2015年数据,采用TOPSIS和模糊综合评判两种方法验证指标体系的稳定性,并以此为结果评价山东省各地市基本公共卫生服务均等化水平。TOPSIS法对样本资料无特殊要求[1],模糊综合评判法是定性分析转化为定量分析的方法,运用该法进行综合评价更合理可靠[2]。两种方法相结合能更科学验证指标体系的稳定性。前期构建",
慢性病管理视角下吉林省基本公共卫生服务覆盖现状及影响因素分析,黄可慧;李颖;冯星淋,中国公共卫生(2019年06期),2018/12/7 12:48,"目的从慢性病管理视角分析吉林省国家基本公共卫生服务覆盖情况及其影响因素。方法采用吉林省2008与2013年国家卫生服务调查家庭健康询问调查数据,以≥18岁调查人口为研究对象,描述慢性病相关基本公共卫生服务的覆盖现状及趋势;采用logistic回归模型分析其影响因素。结果与2008年比较,2013年慢性病相关基本公共卫生服务覆盖率有所提高,慢性病患者健康体检率由22.52%增至53.59%、高血压患者健康教育率由63.51%增至66.63%,血压规范监测率由82.56%增至93.13%;与农村地区相较,城市地区健康体检、血压规范监测服务覆盖率较高(OR=1.5,P<0.01;OR=2.3,P<0.01),建档率和高血压患者健康教育率较低(OR=0.3,P<0.01;OR=0.6,P<0.01)。个人文化程度、家庭人均收入、社会医疗保险类型、年龄与部分基本公共卫生服务覆盖相关。结论慢性病管理视角下,吉林省基本公共卫生服务慢性病管理相关措施覆盖面在5年内有所改善,但仍未达到""全面覆盖""的目标。",慢性病;基本公共卫生服务;影响因素;
湖北省国家基本公共卫生服务项目管理及相关问题分析,罗银波;贾利高;刘军安;江宜梓;敖琴;汪瓒;卢祖洵,中国公共卫生(2019年06期),2018/11/30 12:28,"目的对湖北省国家基本公共卫生服务项目管理情况及相关问题进行分析,为改善基本公共卫生服务政策提供参考依据。方法2014年6月—2015年1月,以区(县)为单位,对湖北省8个地级市的54个区(县)隶属的相关卫生行政组织和城乡基层卫生组织(社区卫生服务中心和乡镇卫生院)的基本公共卫生服务关键知情人868人进行问卷调查。结果调查发现,70.1%的调查对象认为基本公共卫生经费不够用,且城市地区认为经费不够用的比例更高(P<0.05),85.2%的人认为经费拨付方式是合理的,74.5%的人认为经费拨付周期是合理的;43.9%的人认为将经费作为工资发放不合理,76.2%的人认为作为工作补助发放是合理的,73.2%的人认为经费使用存在不合理地方;80%以上的人认为绩效考核是合理的,有75.7%的人认为绩效考核与经费拨付挂钩是基本严格执行的;在13项项目中,老年人管理、慢性病管理、孕产妇管理和儿童健康管理等项目被认为花费经费较多且完成情况不太好。结论湖北省国家基本公共卫生服务项目经费补偿标准偏低,经费管理以及绩效考核等方面存在一定的问题,需要进一步改善基本公共卫生服务相关政策,科学测算服务项目补偿标准,并提高经费管理科学性,促进基层医务人员的工作积极性。",基本公共卫生服务;项目管理;绩效;城乡;
甘肃省高血压、2型糖尿病患者基本公共卫生服务利用现状及影响因素分析,王雷霞;陈奕君;李洁;曹文珮;阎春生,中华疾病控制杂志(2018年11期),2018/11/10,"目的了解甘肃省高血压、2型糖尿病患者对基本公共卫生服务的利用情况。方法运用多阶段随机抽样法,对甘肃省1316名高血压、2型糖尿病患者进行问卷调查。采用X2检验和Logistic回归进行统计分析。结果调查对象利用率较高的是免费体检（64.3%）和随访服务（57.6%）,健康档案（42.5%）和健康教育（36.5%）服务利用率较低,不同健康知识水平组利用健康档案和健康教育服务的差异有统计学意义（均有P<0.05）。多因素分析显示,影响高血压患者基本公共卫生服务利用的因素有年龄、文化程度、患病年限、是否患其他慢性病及健康知识水平（均有P<0.05）;影响2型糖尿病患者基本公共卫生服务利用的因素有性别、文化程度、是否独居及健康知识水平（均有P<0.05）。结论甘肃省高血压、2型糖尿病患者基本公共卫生服务总体利用不足,建议加强慢性病患者健康教育,号召慢性病患者参与其中,提高慢性病患者健康知识水平。",基本公共卫生服务;利用;高血压;2型糖尿病;
基本公共卫生服务均等化评价指标体系的研究,张金梦;程梦菲;于贞杰,中国卫生统计(2018年05期),2018/10/25,"<正>基本公共卫生服务均等化是指每一个公民,不论性别、年龄、民族、居住地、职业和收入水平等,都能平等地获取基本公共卫生服务[1]。本研究通过专家和小组讨论,考虑供需双方指标数据的可得性选取评价指标,形成指标体系。构建一套合理可行的均等化评价指标体系,便于对基本公共卫生服务均等化推进过程进行监测和考核,也为基层医疗卫生机构规范开展",
我国基本公共卫生服务的信息特性与管理建议,何祥光;农圣,中国卫生事业管理(2018年10期),2018/10/15,"目的:系统分析我国基本公共卫生服务的信息特性,为提高其健康效果产出提供管理建议。方法:归纳和分析基本公共卫生服务规范的内容,使用假设方法测算其信息管理工作量、采用模拟法描述其信息流程、使用健康决定因素理论分析信息应用的前提和潜在价值。结果:基本公共卫生服务的信息具有与生命周期和健康状态相关的动态序列性、与健康风险行为和诊疗活动相关的多方关联性和多因多果所致的大样本平衡面板数据必要性三个特征,这些特征加剧了现实工作中基本公共卫生服务的信息管理困难。这些困难包括基层医疗机构人员和财物资源胜任力不足,传统服务方式和信息管理方式的成本高、效率低,信息使用权限难以满足社会需求等。结论:应全面推动基本公共卫生服务信息管理的电子化,制定信息共享共用的制度和政策,建立起以健康改善为实际产出效果的绩效考核体系。",基本公共卫生服务;信息特性;管理建议;
